index,title,type,description,genre,cast,creators
0,Fullmetal Alchemist The Revenge of Scar,movie,"In this sequel to the first feature film, the Elric brothers meet their toughest opponent yet — a lone serial killer with a large scar on his forehead.","[""Action & Adventure"",""Dramas"",""Sci-Fi Films"",""Japanese""]","[""Akaji Maro"",""Atomu Mizuishi"",""Dean Fujioka"",""Hiroshi Tachi"",""Kanata Hongo"",""Kaoru Okunuki"",""Keiko Horiuchi"",""Keisuke Watanabe"",""Koji Yamamoto"",""Kokoro Terada"",""Misako Renbutsu"",""Naohito Fujiki"",""Ron Monroe"",""Ryosuke Yamada"",""Shinji Uchiyama"",""Toshio Kakei"",""Tsubasa Honda"",""Tsutomu Takahashi"",""Yuina Kuroshima"",""Yuki Yamada"",""Yusuke Onuki""]","[""Fumihiko Sori""]"
1,Sherdil: The Pilibhit Saga,movie,A determined village leader embarks on a journey in search of a dangerous tiger that’s threatening the livelihood of his people.,"[""Social Issue Dramas"",""Dramas"",""Comedies"",""Independent Movies"",""Hindi-Language Movies"",""Indian""]","[""Ashok Mehra"",""Madhav Jha"",""Masood Akhtar"",""Neeraj Kabi"",""Pankaj Tripathi"",""Sayani Gupta"",""Sohag Sen"",""Vishwanath Chatterjee""]","[""Srijit Mukherji""]"
2,The Next 365 Days,movie,Laura and Massimo&#39;s relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,"[""Dramas"",""Films Based on Books"",""Polish""]","[""Anna-Maria Sieklucka"",""Magdalena Lamparska"",""Michele Morrone"",""Otar Saralidze"",""Simone Susinna""]","[""Barbara Białowąs"",""Tomasz Mandes""]"
3,You Can Do It Dear!,movie,"Throughout his impressive acting career, Haldun Dormen inspired and encouraged his theater students to work hard and follow their dreams.","[""Biographical Documentaries"",""Documentary Films"",""Turkish""]","[""Haldun Dormen""]","[""Selçuk Metin""]"
4,The Throne,movie,"Two sons of a powerful Pedi chief in South Africa struggle for control of their father&#39;s kingdom, forcing others in the household to take sides.","[""African Movies"",""Dramas"",""South African""]","[""Candy Moloi"",""Charles Maja"",""David Mello"",""Sipho Eric Ndlovu""]","[""Percy L. Maboane""]"
5,The Assistant,movie,"After losing his family during his incarceration, an innocent ex-convict seeks revenge with the help of an unhinged assistant.","[""Action & Adventure"",""Malaysian""]","[""Chacko Vadaketh"",""Chew Kin Wah"",""Coby Chong"",""Farali Khan"",""Gavin Yap"",""Hairul Azreen"",""Hannah Hashim"",""Henley Hii"",""Iedil Dzuhrie Alaudin"",""Tony Eusoff""]","[""Adrian Teh""]"
6,Dwindle,movie,"After hijacking a car, two desperate friends find themselves on a perilous journey involving assassins, police and a kidnapped governor.","[""African Movies"",""Social Issue Dramas"",""Dramas"",""Comedies"",""Nollywood""]","[""Bisola Aiyeola"",""Broda Shaggi"",""Demi Banwo"",""Funke Akindele-Bello"",""Gold Ikponmwosa"",""Gregory Ojefua"",""Jibola Dabo"",""Jide Kene Achufusi"",""Lateef Adedimeji"",""Timini Egbuson"",""Tope Olowoniyan""]","[""Dare Olaitan"",""Kayode Kasum""]"
7,Royalteen,movie,A teenager struggles to keep her scandal-ridden past and a big secret from getting out when she strikes up an unlikely romance with the crown prince.,"[""Teen Films"",""Social Issue Dramas"",""Dramas"",""Romantic Films"",""Films Based on Books"",""Norwegian""]","[""Amalie Sporsheim"",""Elli Müller Osborne"",""Filip Bargee Ramberg"",""Ina Dajanna Ervik"",""Ines Høysæter Asserson"",""Mathias Storhøi"",""Petter Width Kristiansen"",""Veslemøy Mørkrid""]","[""Emilie Beck"",""Per-Olav Sørensen""]"
8,Look Both Ways,movie,"On the night of her college graduation, Natalie&#39;s life splits into parallel realities after she takes a pregnancy test. What will life and love bring?","[""Romantic Comedies"",""Dramas"",""Comedies"",""Romantic Films""]","[""Aisha Dee"",""Andrea Savage"",""Danny Ramirez"",""David Corenswet"",""Lili Reinhart"",""Luke Wilson"",""Nia Long""]","[""Wanuri Kahiu""]"
9,Tim Dillon: A Real Hero,movie,"Tim Dillon rants about fast food, living in Texas, Disney adults and the reason no one should be called a hero.","[""Comedies"",""Stand-up Comedy""]","[""Tim Dillon""]","[""Ben Avery""]"
10,13: The Musical,movie,"After moving from New York to Indiana in the wake of his parents&#39; divorce, a clever middle schooler is determined to throw the best bar mitzvah ever.","[""Kids & Family Movies"",""Comedies"",""Musicals"",""Family Movies"",""Kids Music""]","[""Debra Messing"",""Eli Golden"",""Frankie McNellis"",""Gabriella Uhl"",""JD McCrary"",""Jonathan Lengel"",""Josh Peck"",""Kayleigh Cerezo"",""Khiyla Aynne"",""Liam Wignall"",""Lindsey Blackwell"",""Luke Islam"",""Nolen Dubuc"",""Peter Hermann"",""Ramon Reed"",""Rhea Perlman"",""Shechinah Mpumlwana"",""Willow Moss""]","[""Tamra Davis""]"
11,The Razz Guy,movie,"While preparing for an important business deal, an arrogant executive loses control of his voice after being cursed by an office cleaner.","[""African Movies"",""Comedies"",""Nollywood""]","[""Broda Shaggi"",""Charles Etubiebi"",""Frank Donga"",""Ibrahim Suleiman"",""Imoh Eboh"",""Lasisi Elenu"",""MC Lively"",""Nancy Isime"",""Omotunde Adebowale David"",""Yemi Solade""]","[""Udoka Oyeka""]"
12,Shabaash Mithu (Hindi),movie,"From child prodigy to trailblazing captain, sports icon Mithali Raj navigates the highs and lows of professional cricket in this coming-of-age drama.","[""Movies Based on Real Life"",""Social Issue Dramas"",""Sports Movies"",""Bollywood Movies"",""Dramas"",""Hindi-Language Movies"",""Indian""]","[""Geeta Agrawal Sharma"",""Inayat Verma"",""Kasturi Jagnam"",""Mumtaz Sorcar"",""Sampa Mandal"",""Shilpi Marwaha"",""Taapsee Pannu"",""Vijay Raaz""]","[""Srijit Mukherji""]"
13,Office Invasion,movie,Three best friends band together to defend their valuable mining company from monstrous aliens looking to plunder and exterminate.,"[""African Movies"",""Comedies"",""Sci-Fi Movies"",""South African""]","[""Aimee Ntuli"",""Desmond Dube"",""Greg Viljoen"",""Kiroshan Naidoo"",""Rea Rangaka"",""Sechaba Ramphele"",""Stevel Marc""]","[""Fred Wolmarans"",""Gareth Crocker""]"
14,Nikamma,movie,A lazy slacker struggles to get along with his diligent sister-in-law — until they must step up and fight together against a common enemy.,"[""Action & Adventure"",""Bollywood Movies"",""Romantic Movies"",""Hindi-Language Movies"",""Indian""]","[""Abhimanyu Dassani"",""Abhimanyu Singh"",""Sachin Khedekar"",""Samir Soni"",""Shilpa Shetty"",""Shirley Setia""]","[""Sabbir Khan""]"
15,Heartsong,movie,"While serenading a wedding that quickly implodes, a nomadic musician falls for the bride, who runs afoul of her family. Now he has to save her life.","[""Music"",""Romantic Comedies"",""Dramas"",""Comedies"",""Romantic Movies"",""Turkish""]","[""Ali Seçkiner Alıcı"",""Asiye Dinçsoy"",""Bülent Emin Yarar"",""Erkan Kolçak Köstendil"",""Ferit Kaya"",""Hazar Ergüçlü"",""Nazmi Kırık"",""Selim Bayraktar"",""Şevval Sam""]","[""Soner Caner""]"
16,Day Shift,movie,An LA vampire hunter has a week to come up with the cash to pay for his kid&#39;s tuition and braces. Trying to make a living these days just might kill him.,"[""Action & Adventure"",""Comedies"",""Horror Movies""]","[""Dave Franco"",""Eric Lange"",""Jamie Foxx"",""Karla Souza"",""Meagan Good"",""Natasha Liu Bordizzo"",""Oliver Masucci"",""Peter Stormare"",""Scott Adkins"",""Snoop Dogg"",""Steve Howey"",""Zion Broadnax""]","[""JJ Perry""]"
17,Code Name: Emperor,movie,An intelligence agent tasked with incriminating a squeaky-clean politician must decide if there are still some lines he won&#39;t cross.,"[""Social Issue Dramas"",""Dramas"",""Thriller Movies"",""Spanish""]","[""Alexandra Masangkay"",""Arón Piper"",""Denis Gómez"",""Fran Lareu"",""Georgina Amorós"",""Laura Domínguez"",""Luis Tosar"",""María Botto"",""Miguel Rellán"",""Santi Prego""]","[""Jorge Coira""]"
18,Bo Burnham: The Inside Outtakes,movie,"Bo Burnham delivers a bonus hour of unused material, cut songs and behind-the-scenes footage from his Emmy-winning musical comedy masterpiece, ""Inside.""","[""Comedies"",""Stand-up Comedy""]","[""Bo Burnham""]","[""Bo Burnham""]"
19,Happy Birthday,movie,"At an upscale hotel, a birthday party and a criminal conspiracy collide as a group of misfits clumsily navigate the consequences of a newly-passed law.","[""Action & Adventure"",""Comedies"",""Telugu-Language Movies"",""Indian""]","[""Lavanya Tripathi"",""Naresh Agastya"",""Satya"",""Vennela Kishore""]","[""Ritesh Rana""]"
20,Reclaim,movie,"Shouldering all of her family&#39;s responsibilities, a mother scrambles to find a bigger apartment for her suddenly crowded household.","[""Chinese Films"",""Dramas"",""Taiwanese""]","[""Alice Ko"",""Johnny Kou"",""Lu Yi-ching"",""Mason Lee"",""Nina Paw"",""Richard Sun"",""Tsao Lan"",""Yu Jia-an""]","[""CJ Wang""]"
21,Rise of the Teenage Mutant Ninja Turtles: The Movie,movie,The teen turtles and their mystic ninja powers are put to the ultimate test when ruthless creatures from another universe look to unleash extreme chaos.,"[""Children & Family Films"",""Comedies""]","[""Ben Schwartz"",""Brandon Mychal Smith"",""Josh Brener"",""Omar Benson Miller""]","[""Andy Suriano"",""Ant Ward""]"
22,Darlings,movie,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.","[""Bollywood Films"",""Comedies"",""Thrillers"",""Hindi-language Films"",""Indian""]","[""Alia Bhatt"",""Kiran Karmarkar"",""Pooja Swaroop"",""Rajesh Sharma"",""Roshan Mathew"",""Santosh Juvekar"",""Shefali Shah"",""Vijay Maurya"",""Vijay Varma""]","[""Jasmeet K. Reen""]"
23,Carter,movie,"A man wakes up missing his memories. Directed by a mysterious voice from a device in his ear, he sets off on a hostage rescue mission rife with danger.","[""Korean"",""Action & Adventure""]","[""Jeong So-ri"",""Joo Won"",""Kim Bo-min"",""Lee Sung-jae""]","[""Jung Byung-gil""]"
24,Pakka Commercial,movie,"When an unscrupulous lawyer takes on a notorious client, the case pits him against his morally-minded father, an ex-judge with a past of his own.","[""Social Issue Dramas"",""Dramas"",""Comedies"",""Courtroom Movies"",""Telugu-Language Movies"",""Indian""]","[""Gopichand"",""Raashi Khanna"",""Rao Ramesh"",""Sathyaraj""]","[""Maruthi""]"
25,Nairobby,movie,"After successfully pulling off a heist, six university students live a life on the run as jealously and greed put their friendships to the test.","[""African Movies"",""Dramas"",""Crime Movies"",""Thriller Movies""]","[""Jack Chege"",""Jennifer Gatero"",""Jeritah Mwake"",""Lorna Lemi"",""Martin Ndichu"",""Moses Gathoga"",""Neville Ignatius"",""Sanchez Ombasa""]","[""Jennifer Gatero""]"
26,Lockdown,movie,"At the onset of a pandemic, six strangers are thrown into forced isolation together at a Nigerian hospital. As tensions rise, their stories intertwine.","[""African Movies"",""Dramas"",""Nollywood""]","[""Benjamin Toutoui"",""Chioma Chukwuka Akpotha"",""Deyemi Okanlawon"",""Ini Dima-Okojie"",""Jerry Amilo"",""Jide Kene Achufusi"",""Josh Alfred"",""Omotola Jalade-Ekeinde"",""Sola Sobowale"",""Tony Umez""]","[""Moses Inwang""]"
27,Wedding Season,movie,"Under parental pressure to find spouses, Asha and Ravi pretend to date during a summer of weddings — but their ruse goes awry when feelings turn real.","[""Romantic Comedies"",""Comedies"",""Romantic Films""]","[""Arianna Afsar"",""Damian Thompson"",""Julius Cho"",""Manoj Sood"",""Pallavi Sharda"",""Rizwan Manji"",""Ruth Goodwin"",""Sean Kleier"",""Sonia Dhillon Tully"",""Suraj Sharma"",""Veena Sood""]","[""Tom Dey""]"
28,Don’t Blame Karma!,movie,"When her younger sister and high-school crush get engaged, Sara must find out whether her alleged bad luck is the real culprit behind her misfortunes.","[""Romantic Comedies"",""Romantic Films"",""Comedies"",""Films Based on Books"",""Mexican""]","[""Aislinn Derbez"",""Carlos Morett"",""Carmen Madrid"",""Gil Cerezo"",""Giuseppe Gamba"",""Mauricio García Lozano"",""Miriam de Jesús Chi Chim"",""Renata Notni"",""Romina Montalvo""]","[""Elisa Miller""]"
29,Buba,movie,"When a small-town con artist joins the local mafia with his manipulative brother, his obsession with balancing his karma gets hilariously brutal.","[""Dramas"",""Comedies"",""German""]","[""Anita Vulesica"",""Bjarne Mädel"",""Georg Friedrich"",""Jasmin Shakeri"",""Maren Kroymann"",""Michael Ostrowski"",""Michael Schertenleib"",""Soma Pysall""]","[""Arne Feldhusen""]"
30,Shaka Inkosi YamaKhosi,movie,This animated short film tells the coming-of-age story of the legendary king Shaka Zulu and his empire.,"[""African Movies"",""Dramas"",""Adult Animation"",""South African""]","[""Ayanda Borotho"",""Ayanda Webster"",""Dawn Thandeka Kang"",""Kabelo Mfeka"",""Lillian Dube"",""Mbulelo Hlazo"",""Mondli Makhoba"",""Thembalethu Ntuli"",""Thulani Mtsweni""]","[""Manzini Zungu"",""Nick Cloete""]"
31,Ricardo Quevedo: Tomorrow Will Be Worse,movie,"From road rage to couples fighting during the pandemic, comic Ricardo Quevedo examines the absurdity of the situations that try our patience.","[""Stand-up Comedy"",""Comedies"",""Colombian""]","[""Ricardo Quevedo""]","[""Julio César""]"
32,Morbius,movie,A biochemist with a rare blood disease in search of a cure injects himself with a dangerous serum that gives him super strength and a thirst for blood.,"[""Action & Adventure"",""US Movies"",""Sci-Fi Films""]","[""Adria Arjona"",""Al Madrigal"",""Charlie Shotwell"",""Jared Harris"",""Jared Leto"",""Joe Ferrara"",""Joseph Esson"",""Matt Smith"",""Michael Keaton"",""Tyrese Gibson"",""Zaris-Angel Hator""]","[""Daniel Espinosa""]"
33,Habaddi,movie,"A boy with a speech condition wishes to seek out the girl he loves in Mumbai, but realizes his only ticket to the city is through his local kabaddi team.","[""Kids & Family Movies"",""Dramas"",""Comedies"",""Independent Movies"",""Family Movies"",""Marathi-Language Movies"",""Indian""]","[""Arya Naik"",""Balkrishna Shinde"",""Jayesh Kardak"",""Karan Dave"",""Mayur Khandge"",""Rupesh Bane"",""Vedashree Mahajan""]","[""Nachiket Samant""]"
34,The Entitled,movie,"After learning her estranged father is a hotel mogul, Belinda bumbles her way through a new, sophisticated lifestyle with the help of a charming lawyer.","[""Romantic Comedies"",""Dramas"",""Comedies"",""Romantic Films"",""Filipino""]","[""Alex Gonzaga"",""Andi Abaya"",""Ara Mina"",""JC de Vera"",""Johnny Revilla"",""Melai Cantiveros""]","[""Theodore Boborol""]"
35,Purple Hearts,movie,"An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.","[""Music"",""Dramas"",""Romantic Films""]","[""Anthony Ippolito"",""Chosen Jacobs"",""John Harlan Kim"",""Kat Cunning"",""Linden Ashby"",""Loren Escandon"",""Nicholas Galitzine"",""Sarah Rich"",""Scott Deckert"",""Sofia Carson""]","[""Elizabeth Allen Rosenbaum""]"
36,A Cut Above,movie,"With his mom&#39;s salon on the brink of bankruptcy, a dedicated son rolls up his sleeves to help and discovers himself as the coolest barber on the block.","[""Comedies"",""Brazilian""]","[""Bruno Jablonski"",""Jeniffer Dias"",""Juliana Alves"",""Leandro Santanna"",""Luana Xavier"",""Lucas Koka Penteado"",""Nando Cunha"",""Neusa Borges"",""Rebecca"",""Serjão Loroza"",""Solange Couto"",""Xando Graça"",""Yuri Marçal""]","[""Rodrigo França""]"
37,Private Alexandria,movie,"A woman accused of her husband&#39;s murder hires a young lawyer. As the attorney searches for the real killer, he finds a host of surprises.","[""Dramas"",""Thrillers"",""Middle-Eastern Films"",""Mysteries"",""Egyptian"",""Crime Movies""]","[""Ahmed Ezz"",""Ghada Adel"",""Khaled Saleh"",""Khaled Zaki"",""Mahmoud Abdulmoghni"",""Mohamed Ragab"",""Nour"",""Riham Abdel Ghafour"",""Sameh El-Sereety"",""Sandy Ali""]","[""Sandra Nashaat""]"
38,Soldiers in the Camp,movie,"When a man joins the armed forces, he learns that a fellow soldier has a vendetta against him. To escape the avenger, he enters a sham marriage.","[""Dramas"",""Comedies"",""Middle Eastern Movies"",""Egyptian""]","[""Fayek Azab"",""Hassan Hosny"",""Lekaa El Khamissi"",""Maged El-Kidwani"",""Mohamed Henedi"",""Mohamed Sharaf"",""Salah Abdullah"",""Soleiman Eid""]","[""Mohamed Yassin""]"
39,The Great Chinese Beans,movie,"A young man can&#39;t keep up when his relatives form a smuggling gang, so he escapes to China for a cooking competition, but ends up in big trouble, anyway.","[""Middle Eastern Movies"",""Comedies"",""Egyptian""]","[""Dheya El-Mirghani"",""Hajjaj Abdul Azim"",""Hamdy Heykal"",""Mohamed Henedi"",""Mohamed Shoman"",""Rami Yasin"",""Saeed Tarabeek"",""Sami Sarhan"",""Soleiman Eid""]","[""Sherif Arafa""]"
40,Thieves in Thailand,movie,"After a man from Cairo finds out that he has a long-lost brother, he hatches a plan for the two of them to steal an expensive painting from Thailand.","[""Romantic Comedies"",""Middle Eastern Movies"",""Comedies"",""Romantic Movies"",""Egyptian""]","[""Ahmed Halawa"",""Hanan Turk"",""Karim Abdul Aziz"",""Lotfy Labib"",""Maged El-Kidwani"",""Soleiman Eid"",""Taghreid El Beshbishy"",""Talaat Zakareia""]","[""Sandra Nashaat""]"
41,First Year of Deception,movie,A pair of con artist friends plan to scam tourists in the Egyptian city of Hurghada. But they soon meet two women who change their lives forever.,"[""Romantic Comedies"",""Middle Eastern Movies"",""Comedies"",""Romantic Movies"",""Egyptian""]","[""Ahmed Ezz"",""Dalia El Behery"",""Hassan Hosny"",""Khaled Selim"",""Moataza Abdel Sabour"",""Nour"",""Osama Abbas"",""Samira Mohsen""]","[""Kamlah Abu-Zikri""]"
42,Booha,movie,"A small-town butcher travels to Cairo to collect his inheritance. Along the way, he meets a charming young woman and her mother.","[""Middle Eastern Movies"",""Comedies"",""Egyptian""]","[""Hassan Hosny"",""Lebleba"",""Mai Ezz El-Din"",""Majdi Kamel"",""Mohamed Saad""]","[""Rami Imam""]"
43,Auntie Faransa,movie,"After two sisters lose their mother, their lives turn upside down when they move in with an aunt who works as a professional mourner.","[""Middle Eastern Movies"",""Comedies"",""Egyptian""]","[""Abla Kamel"",""Aidah Riyadh"",""Amr Waked"",""Maha Ammar"",""Mahmoud Abdelmoghni"",""Mona Zaki"",""Talaat Zakareia""]","[""Ali Ragab""]"
44,A Natural Born Fool,movie,"To make ends meet ahead of marrying his sweetheart, a man goes into the burglary business with her uncle — but his incompetence gets them into trouble.","[""Middle Eastern Movies"",""Comedies"",""Egyptian""]","[""Abdulla Meshref"",""Fayek Azab"",""Ghada Felfel"",""Hany Ramzy"",""Hassan Hosny"",""Hussein Abo Hagag"",""Nelly Karim"",""Saeed Tarabeek"",""Samy Maghawry"",""Talaat Zakareia""]","[""Rami Imam""]"
45,Recurrence,movie,"Years after moving to a remote town, ex-cop Pipa is pulled back into the dark world she thought she&#39;d left behind when she gets tangled in a murder case.","[""Social Issue Dramas"",""Dramas"",""Crime Movies"",""Movies Based on Books"",""Thriller Movies"",""Mysteries"",""Argentinian""]","[""Aquiles Casabella"",""Ariel Staltari"",""Benjamín del Cerro"",""Inés Estévez"",""Laura Gonzalez"",""Luisana Lopilato"",""Malena Narvay"",""Mauricio Paniagua"",""Paulina García"",""Santiago Artemis""]","[""Alejandro Montiel""]"
46,Whitney Cummings: Jokes,movie,"Whitney gets personal about sex injuries and dating younger men, spills on her online photo leak and waxes nostalgic about life before social media.","[""Comedies"",""Stand-up Comedy""]","[""Whitney Cummings""]","[""Marcus Raboy""]"
47,Shania Twain: Not Just a Girl,movie,"From Nashville newcomer to international icon, singer Shania Twain transcends genres across borders amid triumphs and setbacks in this documentary.","[""Biographical Documentaries"",""Music & Musicals"",""Documentary Films"",""Canadian""]","[""Shania Twain""]","[""Joss Crowley""]"
48,The Ghost and the Tout Too,movie,"Able to communicate with ghosts, a gifted woman must use her powers to help a coma patient whose spirit is trapped between life and death.","[""African Movies"",""Dramas"",""Comedies"",""Nollywood""]","[""Destiny Etiko"",""Deyemi Okanlawon"",""Ibrahim Bello"",""Ini Edo"",""Iyabo Ojo"",""Kola Ajeyemi"",""Lateef Adedimeji"",""Mercy Johnson Okojie"",""Odunlade Adekola"",""Osas Ighodaro"",""Patience Ozokwor"",""Realwarri Pikin"",""Toyin Abraham""]","[""Michael Akinrogunde""]"
49,Foot Fairy (Hindi),movie,"When a serial killer with a peculiar foot fetish begins to target women, a determined investigation officer will stop at nothing to find the culprit.","[""Bollywood Movies"",""Crime Movies"",""Thriller Movies"",""Hindi-Language Movies"",""Indian""]","[""Ashish Pathode"",""Gulshan Devaiah"",""Karan Arvind Bendre"",""Kunaal Roy Kapur"",""Muskan Bamne"",""Sagarika Ghatge"",""Shamal Rokade"",""Yogesh Soman""]","[""Kanishk Verma""]"
50,Foot Fairy,movie,"When a serial killer with a peculiar foot fetish begins to target women, a determined investigation officer will stop at nothing to find the culprit.","[""Crime Movies"",""Bollywood Movies"",""Thriller Movies"",""Marathi-Language Movies"",""Indian""]","[""Ashish Pathode"",""Gulshan Devaiah"",""Karan Arvind Bendre"",""Kunaal Roy Kapur"",""Muskan Bamne"",""Sagarika Ghatge"",""Shamal Rokade"",""Yogesh Soman""]","[""Kanishk Verma""]"
51,The Gray Man,movie,"When a shadowy CIA agent uncovers damning agency secrets, he’s hunted across the globe by a sociopathic rogue operative who’s put a bounty on his head.","[""Action & Adventure"",""Films Based on Books""]","[""Alfre Woodard"",""Ana de Armas"",""Billy Bob Thornton"",""Chris Evans"",""Dhanush"",""Jessica Henwick"",""Julia Butters"",""Regé-Jean Page"",""Ryan Gosling"",""Wagner Moura""]","[""Anthony Russo"",""Joe Russo""]"
52,My Village People,movie,A selfish womanizer finds himself in bubbling hot water after his reckless lifestyle accidentally attracts the attention of a coven of witches.,"[""African Movies"",""Comedies"",""Nollywood""]","[""Ada Ameh"",""Akah Nnani"",""Amaechi Muonagor"",""Binta Ayo-Mogaji"",""Bovi Ugboma"",""Charles Inojie"",""Francis Sule"",""Nkem Owoh"",""Oge Amuta"",""Rachel Oniga"",""Sophie Alakija"",""Theresa Edem"",""Venita Akpofure"",""Zubby Michael""]","[""Niyi Akinmolayan""]"
53,F3: Fun and Frustration,movie,An unlikely group of money-hungry scammers are thrust into a farcical roller coaster of events when a wealthy industrialist enters their lives.,"[""Comedies"",""Telugu-Language Movies"",""Indian""]","[""Mehreen Pirzada"",""Pooja Hegde"",""Tamannaah Bhatia"",""Varun Tej"",""Venkatesh Daggubati""]","[""Anil Ravipudi""]"
54,A Stand Worthy of Men,movie,"After a long awaited reunion, a group of friends must travel to a coastal town in order to save one of their own from trouble.","[""Dramas"",""Middle Eastern Movies"",""Comedies"",""Egyptian""]","[""Amina Khalil"",""Bayoumi Fouad"",""Maged El-Kidwani"",""Mohamed Sallam"",""Safaa El-Toukhy"",""Sawsan Badr"",""Sayed Ragab"",""Sherief El Desouky""]","[""Ahmed El Gendy""]"
55,David A. Arnold: It Ain&#39;t For the Weak,movie,"Performing in his Cleveland hometown, David A. Arnold jokes about marital spats and entitled kids as he shares a behind-the-scenes look at his family.","[""Comedies"",""Stand-up Comedy""]","[""David A. Arnold""]","[""Malakai""]"
56,Too Old for Fairy Tales,movie,"A spoiled gamer wants to compete in an upcoming tournament, but his mother&#39;s illness and an eccentric aunt force him to rethink his priorities.","[""Children & Family Films"",""Comedies"",""Films Based on Books"",""Family Features"",""Polish""]","[""Amelia Fijałkowska"",""Andrzej Grabowski"",""Dorota Kolak"",""Karolina Gruszka"",""Maciej Karaś"",""Patryk Siemek""]","[""Kristoffer Rus""]"
57,My Little Pony: A New Generation: Sing-Along,movie,"A young pony makes a herd of new friends on a quest to bring magic back to her world in this sing-along version of ""My Little Pony: A New Generation.""","[""Children & Family Films"",""Family Features"",""Kids&#39; Music""]","[""Elizabeth Perkins"",""James Marsden"",""Jane Krakowski"",""Ken Jeong"",""Kimiko Glenn"",""Liza Koshy"",""Michael McKean"",""Phil LaMarr"",""Sofia Carson"",""Vanessa Hudgens""]","[""José Luis Ucha"",""Robert Cullen""]"
58,Live is Life,movie,"Facing the impending realities of adulthood, five friends unite for a final adventure: hunting down a magical flower that makes wishes come true.","[""Dramas"",""Films Based on Books"",""Spanish""]","[""Adrián Baena"",""David Rodríguez"",""Javi Casellas"",""Juan del Pozo"",""Raúl del Pozo""]","[""Dani de la Torre""]"
59,Vaashi (Malayalam),movie,Two ambitious lawyers must grapple with their own dilemmas outside the courtroom when they end up on opposite sides of a momentous case.,"[""Dramas"",""Courtroom Movies"",""Malayalam-Language Movies"",""Indian""]","[""Anagha Narayanan"",""Anu Mohan"",""Baiju"",""Keerthy Suresh"",""Kottayam Ramesh"",""Rony David Raj"",""Tovino Thomas""]","[""Vishnu G. Raghav""]"
60,Godse,movie,"When several high-profile officials are held hostage by a man who calls himself Godse, a police investigator is pulled in to lead a negotiation.","[""Crime Movies"",""Thriller Movies"",""Telugu-Language Movies"",""Indian""]","[""Adithya Menon"",""Aishwarya Lekshmi"",""Satya Dev""]","[""Gopi Ganesh""]"
61,Persuasion,movie,"Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?","[""Romantic Comedies"",""Dramas"",""Comedies"",""Romantic Films"",""Films Based on Books"",""Period Pieces""]","[""Cosmo Jarvis"",""Dakota Johnson"",""Henry Golding"",""Mia McKenna-Bruce"",""Nikki Amuka-Bird"",""Richard E. Grant""]","[""Carrie Cracknell""]"
62,Love Goals,movie,A small-town magician with zero interest in football must lead his local team to the finals of a tournament if he wishes to marry the love of his life.,"[""Sports Films"",""Bollywood Films"",""Dramas"",""Comedies"",""Hindi-language Films"",""Indian""]","[""Arushi Sharma"",""Jaaved Jaaferi"",""Jitendra Kumar"",""Manoj Joshi"",""Rukshar Dhillon""]","[""Sameer Saxena""]"
63,Under the Amalfi Sun,movie,"A year after their romance began in Riccione, Vincenzo and Camilla reunite for a vacation on the picturesque Amalfi Coast and put their love to the test.","[""Teen Films"",""Romantic Comedies"",""Comedies"",""Romantic Films"",""Italian""]","[""Andrea Occhipinti"",""Davide Calgaro"",""Elena Funari"",""Isabella Ferrari"",""Kyshan Wilson"",""Lorenzo Zurzolo"",""Luca Ward"",""Ludovica Martino"",""Marit Nissen"",""Nicolas Maupas"",""Raz Degan""]","[""Martina Pastori""]"
64,Never Stop Dreaming: The Life and Legacy of Shimon Peres,movie,"In politics, most pursue power. He pursued peace. Shimon Peres’s influence and integrity were instrumental in the founding and preservation of Israel.","[""Biographical Documentaries"",""Political Documentaries"",""Documentaries"",""Social & Cultural Docs""]","[""Shimon Peres""]","[""Richard Trank""]"
65,Si saben como me pongo 2,movie,"The El Encanto resort once again hosts a retreat for four couples — including a liar, a sex addict and a thief — seeking to fix their relationships.","[""Comedies"",""Colombian""]","[""Ana Cristina Botero"",""Christian \""El Pantera\"" Rojas"",""Fabiola Posada"",""Iván Marín"",""Joavany Álvarez"",""Liss Pereira"",""Nelson Polanía"",""Ricardo Quevedo"",""Xilena Aycardi""]","[""Fernando Ayllón""]"
66,Uncharted,movie,Street-smart treasure hunter Nathan Drake and his renegade mentor Sully set out on a dangerous adventure across the globe to find Magellan&#39;s lost gold.,"[""Action & Adventure"",""US Movies""]","[""Antonio Banderas"",""Georgia Goodman"",""Jesús Evita"",""Mark Wahlberg"",""Pingi Moli"",""Rudy Pankow"",""Sophia Ali"",""Steven Waddington"",""Tati Gabrielle"",""Tiernan Jones"",""Tom Holland""]","[""Ruben Fleischer""]"
67,Bill Burr: Live at Red Rocks,movie,"Comedian Bill Burr sounds off on cancel culture, feminism, getting bad reviews from his wife and a life-changing epiphany during a fiery stand-up set.","[""Comedies"",""Stand-up Comedy""]","[""Bill Burr""]","[""Mike Binder""]"
